Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
Hudson-Odoi,MID,6.0,69,3.3,2.9,3.3,2.5,3.1,15.1,0.50,1.5%
Bernardo,MID,6.5,70,3.3,3.4,3.0,3.2,2.2,15.0,0.46,0.7%
Piroe,FWD,5.5,69,3.4,2.6,3.2,2.9,2.8,15.0,0.55,2.7%
Onana,GK,5.0,90,1.5,3.3,3.9,2.9,3.3,15.0,0.60,0.1%
Mitchell,DEF,5.0,74,2.2,3.2,2.4,4.1,2.9,14.8,0.59,1.1%
Wharton,MID,5.0,73,2.8,3.0,2.9,3.4,2.8,14.8,0.59,0.6%
Rúben,DEF,5.5,81,3.6,3.4,2.6,3.0,2.2,14.7,0.54,2.6%
Cullen,MID,5.0,87,2.9,3.4,2.8,2.7,2.9,14.7,0.59,0.1%
Kluivert,MID,7.0,44,1.1,3.5,3.2,3.5,3.3,14.6,0.42,3.6%
James,MID,5.5,67,3.4,2.3,3.0,2.9,2.9,14.6,0.53,0.7%
Malen,MID,5.5,58,3.3,3.0,3.1,2.4,2.8,14.6,0.53,2.8%
Agbadou,DEF,4.5,88,2.5,2.8,3.3,2.5,3.5,14.5,0.65,0.3%
Burn,DEF,5.0,80,2.7,2.5,3.2,3.5,2.7,14.5,0.58,3.3%
Truffert,DEF,4.5,90,1.9,4.0,2.7,3.0,2.9,14.5,0.64,1.0%
Lukić,MID,5.0,82,2.9,3.0,2.6,3.1,2.8,14.5,0.58,0.1%
Zubimendi,MID,5.5,79,3.0,3.3,2.6,2.9,2.7,14.5,0.53,2.0%
Hermansen,GK,4.5,58,2.3,2.9,3.0,3.1,3.1,14.4,0.64,0.1%
Lewis-Skelly,DEF,5.5,77,3.0,3.8,2.1,3.3,2.1,14.4,0.52,4.9%
Grealish,MID,6.5,53,2.6,2.9,3.1,3.3,2.5,14.3,0.44,1.0%
De Ligt,DEF,5.0,83,2.7,3.2,3.7,2.0,2.7,14.3,0.57,1.2%
Xhaka,MID,5.0,86,3.0,2.9,2.9,2.8,2.6,14.3,0.57,2.6%
Henderson,MID,5.0,82,3.2,3.0,3.1,2.5,2.4,14.2,0.57,0.4%
Martinez,GK,5.0,0,0.0,3.3,3.6,3.4,3.9,14.2,0.57,0.5%
Tavernier,MID,5.5,60,2.4,3.4,2.6,2.9,2.9,14.2,0.52,0.4%
Edwards,MID,5.0,65,2.7,3.7,2.6,2.4,2.8,14.2,0.57,0.2%
Kamara,MID,5.0,83,3.0,2.8,2.9,2.7,2.8,14.1,0.56,0.2%
James,DEF,5.5,67,3.4,2.8,3.2,2.4,2.2,14.1,0.51,4.8%
Kerkez,DEF,6.0,67,3.2,2.5,2.6,2.9,2.9,14.0,0.47,8.7%
Bentancur,MID,5.5,79,3.3,2.6,3.0,2.7,2.4,14.0,0.51,0.1%
André,MID,5.5,87,2.8,2.8,2.8,2.7,2.9,14.0,0.51,0.1%
Bassey,DEF,4.5,90,2.6,3.0,2.2,3.2,2.9,14.0,0.62,0.4%
Stach,MID,5.0,75,3.1,2.6,2.8,2.7,2.7,13.9,0.56,0.2%
Raúl,FWD,6.5,50,2.6,2.9,2.4,3.1,3.0,13.9,0.43,2.3%
O'Brien,DEF,5.0,91,3.3,3.0,3.0,2.8,1.7,13.7,0.55,0.5%
Dúbravka,GK,4.0,42,1.0,3.9,2.9,2.7,3.2,13.7,0.69,27.1%
De Cuyper,DEF,4.5,71,3.4,2.8,2.3,2.4,2.8,13.7,0.61,7.6%
Flemming,FWD,5.5,61,2.8,4.0,2.2,2.1,2.5,13.7,0.50,0.2%
Van de Ven,DEF,4.5,84,3.7,1.8,3.1,2.7,2.3,13.6,0.60,21.2%
Guessand,MID,6.5,41,2.5,2.3,2.8,2.6,3.3,13.6,0.42,0.1%
Ward-Prowse,MID,6.0,64,3.0,2.5,2.5,2.7,2.9,13.6,0.45,0.4%
N.Aguerd,DEF,4.5,75,3.3,2.4,2.7,2.6,2.5,13.5,0.60,0.1%
Elanga,MID,7.0,62,2.9,2.6,2.7,2.9,2.3,13.5,0.39,9.2%
Ballard,DEF,4.5,90,3.1,3.0,2.7,2.3,2.3,13.5,0.60,0.2%
Hannibal,MID,5.0,70,2.7,3.6,2.3,2.3,2.6,13.5,0.54,0.2%
Carvalho,MID,5.0,53,2.7,2.7,3.1,2.5,2.3,13.4,0.54,0.3%
Garner,MID,5.0,79,3.0,2.8,2.7,2.6,2.3,13.4,0.53,0.1%
Mykolenko,DEF,5.0,78,2.3,3.1,3.1,2.9,1.9,13.3,0.53,3.1%
Toti,DEF,4.5,90,2.2,2.5,3.2,2.2,3.2,13.3,0.59,0.2%
Rodon,DEF,4.0,91,3.3,2.1,2.5,2.6,2.8,13.3,0.67,1.7%
Hume,DEF,4.5,90,3.1,2.9,2.7,2.2,2.3,13.2,0.59,0.2%
Todibo,DEF,4.5,75,3.2,2.2,2.4,2.6,2.6,13.2,0.59,0.1%
Barnes,MID,6.5,59,3.1,2.5,2.5,2.6,2.3,13.1,0.40,0.6%
Lewis-Potter,DEF,5.0,64,2.7,2.4,3.1,2.5,2.3,13.0,0.52,0.5%
Ndoye,MID,6.0,59,2.9,2.4,2.9,2.2,2.7,13.0,0.43,0.3%
Mepham,DEF,4.0,72,2.0,3.1,2.6,2.7,2.6,13.0,0.65,0.3%
Muniz,FWD,5.5,51,2.4,2.9,2.1,2.9,2.7,13.0,0.47,2.3%
Pau,DEF,4.5,74,2.6,2.4,2.6,2.4,2.9,13.0,0.58,0.5%
Munetsi,MID,5.5,63,2.4,2.5,2.7,2.3,3.0,12.9,0.47,0.1%
Gudmundsson,DEF,4.0,83,3.4,1.8,2.6,2.6,2.7,12.9,0.65,2.5%
Barry,FWD,6.0,54,2.8,2.7,2.4,2.9,2.1,12.9,0.43,0.9%
Diouf,DEF,4.5,67,3.4,2.4,2.3,2.5,2.3,12.9,0.57,5.3%
E.Le Fée,MID,5.0,65,2.8,2.5,2.7,2.4,2.4,12.9,0.51,0.7%
Livramento,DEF,5.0,76,2.4,2.0,2.8,3.2,2.3,12.8,0.51,4.0%
Foden,MID,8.0,36,1.9,2.6,3.1,2.9,2.3,12.8,0.32,2.4%
Christie,MID,5.0,72,2.1,3.2,2.5,2.5,2.5,12.7,0.51,0.4%
Bogle,DEF,4.5,90,2.8,1.8,2.7,2.7,2.8,12.7,0.56,0.5%
Bergvall,MID,5.5,63,3.0,2.3,2.5,2.5,2.4,12.6,0.46,0.2%
McGinn,MID,5.5,59,2.8,2.2,2.5,2.3,2.8,12.6,0.46,0.6%
Walker,DEF,4.5,86,2.2,3.7,2.1,1.8,2.7,12.5,0.55,2.1%
Diarra,MID,5.5,71,2.8,2.5,2.5,2.3,2.4,12.4,0.45,0.1%
Amad,MID,6.5,59,2.5,2.5,3.0,2.0,2.5,12.4,0.38,3.5%
Gravenberch,MID,5.5,0,0.0,3.1,2.9,3.1,3.2,12.4,0.45,0.1%
Tete,DEF,4.5,70,2.5,2.7,1.9,2.7,2.5,12.3,0.55,0.2%
J.Ramsey,MID,5.5,54,2.8,2.2,2.5,2.2,2.6,12.3,0.45,0.6%
Yoro,DEF,4.5,75,2.4,2.8,3.2,1.8,2.1,12.2,0.54,1.3%
