Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Sadi,0,0,0,0,0,0,0,0.0,0.1%
Silcott-Duberry,0,0,0,0,0,0,0,0.0,0.3%
Enes Ünal,0,0,0,0,0,0,0,0.0,0.0%
Adu-Adjei,0,0,0,0,0,0,0,0.0,0.4%
Balcombe,0,0,0,0,0,0,0,0.0,0.3%
Cox,0,0,0,0,0,0,0,0.0,0.2%
Eyestone,0,0,0,0,0,0,0,0.0,0.1%
Arthur,0,0,0,0,0,0,0,0.0,0.4%
Fredrick,0,0,0,0,0,0,0,0.0,0.2%
Meghoma,0,0,0,0,0,0,0,0.0,0.2%
Onyeka,0,0,0,0,0,0,0,0.0,0.1%
Donovan,0,0,0,0,0,0,0,0.0,0.1%
Konak,0,0,0,0,0,0,0,0.0,0.2%
Trevitt,0,0,0,0,0,0,0,0.0,0.1%
Morgan,0,0,0,0,0,0,0,0.0,0.5%
McGill,0,0,0,0,0,0,0,0.0,0.3%
Rushworth,0,0,0,0,0,0,0,0.0,0.0%
Scherpen,0,0,0,0,0,0,0,0.0,0.0%
Estupiñan,0,0,0,0,0,0,0,0.0,0.2%
Webster,0,0,0,0,0,0,0,0.0,0.1%
Cashin,0,0,0,0,0,0,0,0.0,0.1%
Slater,0,0,0,0,0,0,0,0.0,0.2%
Tasker,0,0,0,0,0,0,0,0.0,0.2%
Enciso,0,0,0,0,0,0,0,0.0,0.2%
Milner,0,0,0,0,0,0,0,0.0,0.1%
Yalcouye,0,0,0,0,0,0,0,0.0,0.1%
Knight,0,0,0,0,0,0,0,0.0,0.1%
Mazilu,0,0,0,0,0,0,0,0.0,0.1%
Moran,0,0,0,0,0,0,0,0.0,0.1%
Ferguson,0,0,0,0,0,0,0,0.0,0.1%
Kostoulas,0,0,0,0,0,0,0,0.0,0.6%
Green,0,0,0,0,0,0,0,0.0,0.4%
Dodgson,0,0,0,0,0,0,0,0.0,0.2%
Sambo,0,0,0,0,0,0,0,0.0,0.2%
Boateng,0,0,0,0,0,0,0,0.0,0.1%
Churlinov,0,0,0,0,0,0,0,0.0,0.1%
Adewumi,0,0,0,0,0,0,0,0.0,0.1%
Banel,0,0,0,0,0,0,0,0.0,0.0%
Trésor,0,0,0,0,0,0,0,0.0,0.1%
Penders,0,0,0,0,0,0,0,0.0,0.0%
Slonina,0,0,0,0,0,0,0,0.0,0.1%
Colwill,0,0,0,0,0,0,0,0.0,4.5%
Anselmino,0,0,0,0,0,0,0,0.0,0.2%
Mudryk,0,0,0,0,0,0,0,0.0,0.0%
Paez,0,0,0,0,0,0,0,0.0,0.1%
Matthews,0,0,0,0,0,0,0,0.0,0.1%
Chadi Riad,0,0,0,0,0,0,0,0.0,0.0%
Kporha,0,0,0,0,0,0,0,0.0,0.2%
Agbinone,0,0,0,0,0,0,0,0.0,0.1%
Ahamada,0,0,0,0,0,0,0,0.0,0.1%
Ebiowei,0,0,0,0,0,0,0,0.0,0.1%
Ozoh,0,0,0,0,0,0,0,0.0,0.0%
Rodney,0,0,0,0,0,0,0,0.0,0.0%
Umeh,0,0,0,0,0,0,0,0.0,0.0%
Marsh,0,0,0,0,0,0,0,0.0,0.3%
Tyrer,0,0,0,0,0,0,0,0.0,0.2%
Dixon,0,0,0,0,0,0,0,0.0,0.3%
Welch,0,0,0,0,0,0,0,0.0,0.2%
Bates,0,0,0,0,0,0,0,0.0,0.1%
Ebere,0,0,0,0,0,0,0,0.0,0.0%
Heath,0,0,0,0,0,0,0,0.0,0.0%
Metcalfe,0,0,0,0,0,0,0,0.0,0.0%
Sherif,0,0,0,0,0,0,0,0.0,0.3%
Benda,0,0,0,0,0,0,0,0.0,0.1%
Amissah,0,0,0,0,0,0,0,0.0,0.2%
Harris,0,0,0,0,0,0,0,0.0,0.0%
Meslier,0,0,0,0,0,0,0,0.0,1.1%
Cairns,0,0,0,0,0,0,0,0.0,0.3%
Crew,0,0,0,0,0,0,0,0.0,0.1%
Gyabi,0,0,0,0,0,0,0,0.0,0.1%
Mateo Joseph,0,0,0,0,0,0,0,0.0,0.2%
Pécsi,0,0,0,0,0,0,0,0.0,0.1%
Woodman,0,0,0,0,0,0,0,0.0,0.1%
Nallo,0,0,0,0,0,0,0,0.0,0.2%
Ramsay,0,0,0,0,0,0,0,0.0,0.2%
Luis Díaz,0,0,0,0,0,0,0,0.0,0.8%
Doak,0,0,0,0,0,0,0,0.0,0.1%
McConnell,0,0,0,0,0,0,0,0.0,0.0%
Morton,0,0,0,0,0,0,0,0.0,0.0%
Nyoni,0,0,0,0,0,0,0,0.0,0.1%
Danns,0,0,0,0,0,0,0,0.0,0.2%
Bettinelli,0,0,0,0,0,0,0,0.0,0.2%
Vitor Reis,0,0,0,0,0,0,0,0.0,0.1%
Echeverri,0,0,0,0,0,0,0,0.0,0.1%
Nypan,0,0,0,0,0,0,0,0.0,0.1%
Phillips,0,0,0,0,0,0,0,0.0,0.1%
Harrison,0,0,0,0,0,0,0,0.0,0.0%
Heaton,0,0,0,0,0,0,0,0.0,0.4%
Mee,0,0,0,0,0,0,0,0.0,0.1%
D.Leon,0,0,0,0,0,0,0,0.0,0.1%
Fredricson,0,0,0,0,0,0,0,0.0,0.2%
Rashford,0,0,0,0,0,0,0,0.0,0.4%
Garnacho,0,0,0,0,0,0,0,0.0,0.2%
Antony,0,0,0,0,0,0,0,0.0,0.1%
Sancho,0,0,0,0,0,0,0,0.0,0.1%
