Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,/£M,Elite%
Mundle,MID,5.0,0,0.0,0.0,0.3,0.6,0.7,1.7,0.07,0.0%
Kalajdžić,FWD,5.0,2,0.2,0.4,0.2,0.4,0.5,1.7,0.07,0.2%
A.García,DEF,4.0,2,0.2,0.3,0.3,0.4,0.4,1.6,0.08,0.6%
Fábio Silva,FWD,5.0,1,0.1,0.2,0.4,0.4,0.4,1.6,0.06,0.6%
Carney Chukwuemeka,MID,99.9,3,0.3,0.3,0.3,0.3,0.3,1.5,0.00,0.0%
George,MID,5.0,7,0.5,0.1,0.4,0.3,0.2,1.5,0.06,0.1%
Weiss,GK,4.5,29,1.0,0.1,0.1,0.1,0.3,1.5,0.07,0.2%
Kostoulas,FWD,5.0,1,0.2,0.3,0.2,0.3,0.4,1.5,0.06,0.5%
Obi,FWD,4.5,2,0.2,0.2,0.3,0.3,0.5,1.5,0.07,3.0%
Poveda,MID,5.0,5,0.3,0.3,0.3,0.3,0.3,1.5,0.06,0.0%
Tsimikas,DEF,5.0,3,0.2,0.3,0.3,0.3,0.4,1.5,0.06,0.1%
Igor,DEF,4.5,4,0.1,0.2,0.3,0.4,0.5,1.4,0.06,0.1%
Heaven,DEF,4.0,6,0.2,0.2,0.4,0.2,0.3,1.4,0.07,1.8%
Valdimarsson,GK,4.0,27,1.0,0.1,0.1,0.1,0.1,1.4,0.07,1.3%
Roberts,DEF,4.5,5,0.2,0.4,0.2,0.2,0.3,1.3,0.06,0.1%
Jair Cunha,DEF,4.5,3,0.1,0.3,0.3,0.2,0.5,1.3,0.06,0.1%
Stamenic,MID,4.5,3,0.2,0.2,0.3,0.3,0.3,1.3,0.06,0.1%
Benitez,GK,4.0,5,0.2,0.3,0.2,0.4,0.3,1.3,0.07,0.4%
Davies,DEF,4.5,5,0.2,0.1,0.3,0.3,0.4,1.3,0.06,0.1%
Sima,MID,5.5,4,0.4,0.2,0.2,0.3,0.3,1.3,0.05,0.0%
Kovačić,MID,6.0,0,0.0,0.0,0.0,0.5,0.8,1.3,0.04,0.0%
Raheem Sterling,FWD,99.9,2,0.2,0.2,0.3,0.2,0.3,1.2,0.00,0.0%
Mamardashvili,GK,4.5,0,0.0,0.1,0.4,0.4,0.3,1.2,0.05,0.5%
Cornet,MID,5.0,3,0.3,0.3,0.3,0.2,0.2,1.2,0.05,0.1%
Arrizabalaga,GK,4.5,4,0.2,0.4,0.2,0.2,0.3,1.2,0.05,1.0%
Trafford,GK,5.0,2,0.1,0.2,0.4,0.3,0.2,1.2,0.05,2.4%
Y.Chermiti,FWD,5.0,0,0.0,0.2,0.3,0.4,0.3,1.2,0.05,0.2%
