Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Hill,3,3,5,10,8,7,33,1.6,0.7%
Bamford,1,1,2,2,4,4,13,0.5,3.0%
Zinchenko,3,3,4,5,6,6,24,1.0,0.3%
Hayden,1,1,3,4,6,3,17,0.8,0.1%
H.Bueno,1,1,4,3,5,7,20,0.9,0.1%
Raheem Sterling,3,3,1,2,4,3,13,0.0,0.0%
Krafth,1,1,4,5,11,10,31,1.4,0.1%
Davies,2,2,5,7,9,9,32,1.4,0.1%
Mamardashvili,0,0,1,7,6,12,26,1.2,0.6%
George,4,4,2,1,2,2,11,0.4,0.1%
Sima,1,1,3,2,2,2,10,0.4,0.0%
Martinez,0,0,0,0,2,30,32,1.3,0.6%
Hjelde,0,0,0,0,12,22,34,1.7,0.0%
Pedro Lima,3,3,5,5,6,8,27,1.4,1.4%
Jordan,2,2,4,5,9,14,34,1.7,0.2%
Barnes,1,1,1,2,2,3,9,0.4,4.4%
Coleman,1,1,4,4,4,8,21,0.9,0.1%
Alex Moreno,3,3,3,2,4,8,20,1.0,11.2%
Browne,2,2,3,4,3,3,15,0.7,0.1%
Trafford,1,1,5,5,5,6,22,0.9,3.1%
Carney Chukwuemeka,1,1,1,2,2,3,9,0.0,0.0%
Neto,4,4,6,3,4,6,23,1.0,1.1%
Gelhardt,0,0,1,1,3,3,8,0.4,0.3%
Jörgensen,2,2,1,4,4,9,20,0.9,0.2%
Acheampong,3,3,4,3,5,3,18,0.9,0.3%
Kuol,2,2,3,1,1,1,8,0.4,0.1%
Holding,3,3,3,5,5,5,21,1.1,0.3%
Weiss,3,3,2,3,6,6,20,0.9,0.2%
Collyer,1,1,2,3,3,4,13,0.6,0.2%
Triantis,2,2,6,4,3,0,15,0.7,0.1%
B.Badiashile,0,0,0,0,7,14,21,0.9,0.1%
J.Rak-Sakyi,0,0,1,2,2,2,7,0.3,0.1%
Peart-Harris,0,0,1,2,2,2,7,0.3,0.0%
Greenwood,0,0,1,1,1,3,6,0.2,0.1%
Reed,0,0,0,2,3,4,9,0.4,0.3%
Bajcetic,0,0,0,1,4,4,9,0.4,0.1%
Schmidt,1,1,2,5,3,6,17,0.8,0.3%
O’Reilly,0,0,1,1,2,3,7,0.3,0.2%
Faivre,1,1,1,1,1,3,7,0.3,0.2%
Kostoulas,2,2,0,1,1,2,6,0.2,0.6%
J.Cuenca,1,1,3,3,5,4,16,0.7,0.1%
Kinsky,1,1,1,7,2,5,16,0.8,4.1%
Ahamada,0,0,1,1,3,4,9,0.4,0.1%
Arrizabalaga,2,2,2,4,2,5,15,0.7,1.0%
Alese,0,0,0,0,9,10,19,0.9,0.0%
Marshall,0,0,1,1,1,1,4,0.2,0.8%
Jair Cunha,1,1,2,4,4,6,17,0.8,0.1%
Potts,1,1,1,4,3,2,11,0.5,0.7%
Irving,1,1,1,1,1,1,5,0.2,0.3%
David Datro Fofana,2,2,0,1,1,1,5,0.0,0.0%
Patterson,2,2,3,3,2,4,14,0.6,0.5%
M.Sarr,4,4,2,3,4,2,15,0.7,0.1%
Steele,1,1,2,1,1,5,10,0.4,0.4%
Johnstone,1,1,1,2,3,4,11,0.5,0.2%
Darlow,2,2,0,3,3,3,11,0.6,5.7%
Axel Disasi,0,0,3,2,3,2,10,0.0,0.0%
Lecomte,1,1,0,2,3,2,8,0.4,1.1%
Travers,0,0,1,2,3,2,8,0.4,0.2%
Valdimarsson,1,1,2,1,1,2,7,0.3,1.6%
Godo,0,0,0,0,1,1,2,0.1,0.1%
Malacia,0,0,0,1,2,2,5,0.3,0.4%
N.Aguerd,2,2,1,3,2,2,10,0.4,0.1%
Foderingham,1,1,0,1,1,3,6,0.3,0.8%
Ji-soo,1,1,1,2,2,1,7,0.3,0.2%
Delcroix,2,2,1,1,3,2,9,0.5,0.4%
Nelson,0,0,0,1,1,0,2,0.1,0.2%
Amass,1,1,1,1,2,1,6,0.3,0.3%
Armstrong,0,0,1,0,1,4,6,0.3,0.4%
Maghoma,0,0,0,1,1,1,3,0.1,0.1%
Obafemi,0,0,1,0,2,0,3,0.1,0.7%
Neave,1,1,1,0,0,0,2,0.1,0.3%
Renato Veiga,1,1,1,2,0,1,5,0.0,0.0%
Scarlett,0,0,0,0,0,2,2,0.1,0.9%
Sarmiento,1,1,0,0,1,0,2,0.1,0.1%
C.Miguel,1,1,0,0,1,2,4,0.2,0.3%
Boly,0,0,1,0,2,2,5,0.3,0.6%
Winterburn,0,0,2,0,0,0,2,0.1,0.1%
Pond,0,0,1,1,2,0,4,0.2,2.1%
Abbott,0,0,0,1,1,2,4,0.2,0.3%
Konak,0,0,1,1,0,0,2,0.1,0.2%
Gunn,1,1,1,0,1,0,3,0.1,0.3%
R.Williams,0,0,0,1,0,2,3,0.1,0.2%
Kone,0,0,0,0,0,1,1,0.0,0.1%
Moore,0,0,0,0,0,1,1,0.0,0.1%
Fábio Vieira,0,0,0,0,1,0,1,0.0,0.1%
Targett,0,0,1,0,1,0,2,0.1,0.5%
Ben Chilwell,0,0,0,0,1,1,2,0.0,0.0%
Sambi,0,0,0,1,0,0,1,0.0,0.2%
Edozie,0,0,0,0,0,1,1,0.0,0.4%
Anderson,0,0,2,0,1,0,3,0.1,0.6%
Woodman,0,0,0,0,0,1,1,0.1,0.1%
Akinmboni,0,0,0,0,2,0,2,0.1,0.4%
Lascelles,0,0,0,0,1,0,1,0.0,0.1%
Hladký,0,0,0,1,0,0,1,0.1,0.4%
Fredricson,0,0,0,1,0,0,1,0.1,0.2%
Worrall,0,0,0,0,0,1,1,0.1,0.2%
Hein,0,0,0,0,0,0,0,0.0,0.6%
Setford,0,0,0,0,0,0,0,0.0,0.2%
Clarke,0,0,0,0,0,0,0,0.0,0.6%
Kacurri,0,0,0,0,0,0,0,0.0,0.2%
Nichols,0,0,0,0,0,0,0,0.0,0.2%
Kabia,0,0,0,0,0,0,0,0.0,0.3%
G.Jesus,0,0,0,0,0,0,0,0.0,0.0%
Gauci,0,0,0,0,0,0,0,0.0,1.0%
Marschall,0,0,0,0,0,0,0,0.0,0.1%
Sousa,0,0,0,0,0,0,0,0.0,0.3%
Yasin,0,0,0,0,0,0,0,0.0,0.3%
Buendía,0,0,0,0,0,0,0,0.0,0.1%
Iling Jr,0,0,0,0,0,0,0,0.0,0.0%
Barrenechea,0,0,0,0,0,0,0,0.0,0.0%
Dobbin,0,0,0,0,0,0,0,0.0,0.1%
Broggio,0,0,0,0,0,0,0,0.0,0.3%
Dendoncker,0,0,0,0,0,0,0,0.0,0.4%
Jimoh-Aloba,0,0,0,0,0,0,0,0.0,0.1%
Young,0,0,0,0,0,0,0,0.0,0.6%
Redmond,0,0,0,0,0,0,0,0.0,0.9%
Dennis,0,0,0,0,0,0,0,0.0,0.7%
McKenna,0,0,0,0,0,0,0,0.0,0.2%
Paulsen,0,0,0,0,0,0,0,0.0,0.2%
Bevan,0,0,0,0,0,0,0,0.0,0.3%
Sadi,0,0,0,0,0,0,0,0.0,0.1%
Silcott-Duberry,0,0,0,0,0,0,0,0.0,0.2%
Enes Ünal,0,0,0,0,0,0,0,0.0,0.0%
Adu-Adjei,0,0,0,0,0,0,0,0.0,0.4%
Balcombe,0,0,0,0,0,0,0,0.0,0.3%
Cox,0,0,0,0,0,0,0,0.0,0.2%
Eyestone,0,0,0,0,0,0,0,0.0,0.1%
Arthur,0,0,0,0,0,0,0,0.0,0.4%
Fredrick,0,0,0,0,0,0,0,0.0,0.2%
Meghoma,0,0,0,0,0,0,0,0.0,0.2%
Onyeka,0,0,0,0,0,0,0,0.0,0.1%
Donovan,0,0,0,0,0,0,0,0.0,0.1%
Trevitt,0,0,0,0,0,0,0,0.0,0.1%
Morgan,0,0,0,0,0,0,0,0.0,0.5%
McGill,0,0,0,0,0,0,0,0.0,0.3%
Rushworth,0,0,0,0,0,0,0,0.0,0.0%
