Name,Position,Price,xMins,GW16,GW17,GW18,GW19,Total,/£M,Elite%
Ugochukwu,MID,5.0,65,2.4,2.3,2.3,2.2,9.1,0.46,0.0%
Udogie,DEF,4.4,70,2.5,2.2,2.2,2.2,9.1,0.52,0.0%
Nmecha,FWD,5.0,66,1.3,2.3,2.9,2.5,9.1,0.45,0.0%
Robertson,DEF,5.8,48,2.2,1.9,2.3,2.6,9.0,0.39,0.0%
Hee Chan,MID,5.7,33,1.5,2.8,2.2,2.5,8.9,0.39,0.0%
J.Murphy,MID,6.1,36,2.1,2.4,2.0,2.4,8.9,0.37,0.0%
Garnacho,MID,6.4,42,2.6,1.9,2.0,2.4,8.9,0.35,0.0%
Burn,DEF,5.1,60,2.7,2.0,1.9,2.3,8.9,0.44,1.3%
Maatsen,DEF,4.2,55,2.6,2.6,2.0,1.6,8.9,0.53,0.0%
Gruda,MID,5.4,46,2.2,2.6,1.7,2.3,8.8,0.41,0.0%
Toti,DEF,4.3,81,1.8,2.7,2.0,2.3,8.8,0.51,0.0%
Savinho,MID,6.9,26,1.5,2.7,2.2,2.4,8.8,0.32,0.1%
Elanga,MID,6.6,35,2.1,2.2,2.0,2.4,8.8,0.33,0.2%
Fofana,DEF,4.4,58,2.5,1.9,2.1,2.2,8.7,0.49,0.0%
Hinshelwood,MID,5.1,54,1.9,2.3,2.0,2.3,8.5,0.42,0.0%
Smith,DEF,4.4,64,2.0,2.8,2.0,1.7,8.5,0.48,0.0%
Smith Rowe,MID,5.6,30,1.6,2.3,2.4,2.1,8.5,0.38,0.0%
Brooks,MID,5.0,36,1.8,2.8,2.1,1.9,8.5,0.42,0.0%
Kilman,DEF,4.2,46,1.6,1.9,2.4,2.6,8.4,0.50,0.1%
Bruun Larsen,MID,5.3,40,2.0,2.0,2.2,2.1,8.4,0.40,0.0%
Okafor,MID,5.5,50,2.3,2.3,2.0,1.8,8.4,0.38,0.0%
Hutchinson,MID,5.4,50,2.5,1.9,1.8,2.0,8.3,0.38,0.0%
Beto,FWD,5.1,39,1.9,1.9,2.1,2.1,8.0,0.39,0.0%
Gyökeres,FWD,8.8,29,2.5,1.7,1.8,2.0,8.0,0.23,0.3%
Gusto,DEF,4.9,61,3.0,1.5,1.6,1.9,8.0,0.41,0.0%
Bergvall,MID,5.4,38,1.7,2.1,2.0,2.0,7.9,0.36,0.0%
Walker-Peters,DEF,4.3,20,0.7,1.6,3.0,2.5,7.9,0.46,0.0%
Iroegbunam,MID,4.8,33,1.2,2.2,2.4,2.0,7.8,0.41,0.0%
Diop,DEF,4.3,14,0.5,2.8,2.4,2.1,7.8,0.45,0.0%
N.Gonzalez,MID,5.9,63,2.5,1.9,1.6,1.8,7.8,0.33,0.0%
Delap,FWD,6.2,32,0.6,1.6,2.7,2.9,7.8,0.31,0.0%
Jensen,MID,4.9,38,1.9,1.7,2.0,2.1,7.8,0.40,0.0%
Mosquera,DEF,4.3,55,1.4,2.7,1.8,2.0,7.8,0.45,0.0%
Geertruida,DEF,4.5,44,1.5,1.8,2.8,1.6,7.7,0.43,0.0%
Krejčí,DEF,4.5,95,0.9,2.6,2.0,2.1,7.7,0.43,0.0%
Madueke,MID,6.8,32,2.5,1.6,1.7,1.9,7.7,0.28,0.2%
Rigg,MID,4.8,19,0.9,2.2,2.5,2.1,7.7,0.40,0.0%
Havertz,FWD,7.3,0,0.0,1.6,2.9,3.1,7.6,0.26,0.0%
Zinchenko,DEF,4.9,56,0.9,2.2,1.9,2.5,7.6,0.39,0.0%
De Cuyper,DEF,4.3,54,2.1,2.2,1.2,1.9,7.4,0.43,0.8%
Savona,DEF,4.5,64,2.4,1.8,1.3,1.9,7.4,0.41,0.0%
Aaronson,MID,5.4,40,1.9,2.0,1.8,1.6,7.3,0.34,0.0%
Walker,DEF,4.4,0,0.0,2.2,2.7,2.3,7.2,0.41,0.0%
Yoro,DEF,4.3,50,2.0,1.5,1.5,2.2,7.1,0.42,0.0%
Bradley,DEF,5.0,0,0.0,2.2,2.4,2.5,7.1,0.36,0.0%
Estêvão,MID,6.6,38,2.2,1.7,1.4,1.8,7.1,0.27,0.0%
Broja,FWD,5.2,29,1.6,1.8,1.8,1.8,7.0,0.34,0.0%
Hudson-Odoi,MID,5.7,43,2.2,1.8,1.3,1.6,6.9,0.30,0.0%
Gnonto,MID,5.2,34,1.7,1.9,1.7,1.5,6.8,0.33,0.0%
Ajer,DEF,4.4,31,1.5,1.8,1.9,1.6,6.8,0.39,0.0%
Møller Wolfe,DEF,4.3,70,1.3,2.3,1.4,1.7,6.8,0.39,0.0%
Füllkrug,FWD,5.6,33,1.7,1.4,1.8,1.9,6.8,0.30,0.0%
Devenny,MID,4.3,21,1.1,1.8,1.8,2.0,6.7,0.39,0.1%
Souček,MID,5.7,39,1.7,1.5,1.6,1.8,6.6,0.29,0.0%
Kroupi.Jr,FWD,4.6,29,1.5,1.9,1.7,1.5,6.6,0.36,6.5%
Odobert,MID,5.3,32,1.6,1.9,1.6,1.5,6.5,0.31,0.0%
Mundle,MID,4.9,7,0.5,2.0,2.2,1.8,6.5,0.33,0.0%
Laurent,MID,4.8,35,1.4,1.5,1.7,1.9,6.5,0.34,0.0%
