Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
Christie,0,0.0,0.0,1.0,2.6,2.5,6.1,0.24,0.5%
Lavia,32,1.3,1.2,1.1,1.3,1.2,6.0,0.24,0.1%
Bradley,19,1.1,0.8,1.2,1.4,1.4,5.9,0.24,0.7%
Bailey,15,1.0,1.1,1.3,1.2,1.2,5.8,0.21,0.5%
Morato,22,0.9,1.0,1.3,1.0,1.5,5.8,0.26,0.1%
Álvarez,21,0.9,1.1,1.3,1.2,1.2,5.7,0.23,0.2%
Botman,23,0.9,0.9,1.1,1.3,1.4,5.6,0.23,0.5%
J.Araujo,31,0.8,1.3,1.1,1.1,1.3,5.6,0.28,1.3%
Struijk,63,2.7,0.5,0.8,0.9,0.8,5.6,0.25,0.4%
Delap,26,1.8,1.0,0.8,0.9,1.0,5.5,0.17,4.6%
Castagne,24,0.9,1.1,0.9,1.4,1.2,5.5,0.24,0.2%
Coppola,22,1.0,1.1,1.0,1.2,1.2,5.4,0.24,0.1%
Wieffer,21,1.0,1.1,1.0,1.1,1.2,5.4,0.22,0.1%
Brooks,20,1.0,1.4,1.0,0.9,1.0,5.3,0.21,0.2%
Aké,22,1.0,1.0,1.0,1.2,1.1,5.3,0.19,0.5%
Shaw,26,0.9,1.0,1.5,0.9,1.0,5.3,0.23,0.2%
Zirkzee,11,0.7,0.8,1.3,0.9,1.4,5.0,0.17,1.1%
Iroegbunam,19,0.8,1.1,1.0,1.0,1.0,4.9,0.20,0.1%
Calafiori,23,1.0,1.1,0.8,1.1,0.9,4.9,0.18,0.6%
Elliott,20,1.3,0.6,0.8,1.1,1.0,4.9,0.18,0.2%
Madueke,7,0.6,0.9,0.8,1.3,1.3,4.9,0.14,1.7%
Gomez,13,0.6,0.7,0.8,1.3,1.4,4.8,0.19,0.2%
A.Ramsey,10,0.5,0.7,0.9,1.1,1.6,4.7,0.21,12.8%
Igor Jesus,12,0.8,0.9,1.2,0.8,1.1,4.7,0.16,1.3%
Sinisterra,14,0.7,1.0,1.0,0.8,1.1,4.7,0.19,0.2%
Hladký,25,0.8,1.2,0.8,0.8,1.0,4.6,0.23,0.5%
Rigg,14,0.8,0.9,1.0,0.9,1.0,4.6,0.18,0.1%
L.Miley,17,0.7,0.9,1.1,1.0,0.8,4.5,0.20,3.3%
Danso,15,0.7,0.7,0.9,1.0,1.1,4.4,0.20,0.1%
M.França,9,0.5,0.7,1.0,1.2,1.0,4.4,0.20,0.1%
Bornauw,42,1.7,0.4,0.7,0.8,0.9,4.4,0.22,0.3%
