Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
Da Silva Moreira,3,3,6,8,5,8,30,1.3,0.2%
Bobb,2,2,5,6,5,8,26,0.9,0.1%
Poveda,5,5,7,6,5,6,29,1.2,0.1%
Emerson,5,5,8,9,10,6,38,1.7,0.2%
Huggins,12,12,15,16,7,3,53,2.6,0.3%
Stamenic,4,4,5,7,11,12,39,1.7,0.1%
McAtee,2,2,2,4,7,8,23,0.8,0.1%
Keane,6,6,5,10,12,16,49,2.2,0.3%
Tsimikas,4,4,4,6,6,9,29,1.2,0.1%
Pembele,8,8,7,13,11,8,47,2.4,0.3%
O.Richards,3,3,8,9,10,13,43,1.9,0.1%
Bryan,1,1,5,5,6,4,21,0.8,0.1%
Heaven,5,5,5,10,10,10,40,2.0,2.1%
Roberts,8,8,10,9,7,12,46,2.0,0.1%
Sima,2,2,4,3,3,5,17,0.6,0.0%
Coleman,3,3,8,7,10,10,38,1.7,0.1%
Tosin,5,5,4,9,10,13,41,1.8,0.3%
Patterson,4,4,7,9,13,13,46,2.0,0.5%
David Møller Wolfe,9,9,8,9,8,9,43,0.1,0.0%
Obi,2,2,4,4,5,3,18,0.8,4.9%
Cornet,2,2,3,5,3,4,17,0.7,0.1%
Hill,3,3,7,7,10,10,37,1.9,0.7%
Mamardashvili,1,1,5,7,9,10,32,1.4,0.7%
Roerslev,7,7,8,8,7,5,35,1.6,0.1%
Obafemi,3,3,3,4,2,4,16,0.7,0.8%
Benitez,4,4,5,7,8,11,35,1.8,0.5%
Solomon,1,1,1,2,5,7,16,0.6,0.1%
Armstrong,3,3,4,6,9,10,32,1.4,0.4%
Bamford,2,2,3,3,4,2,14,0.6,3.1%
Alex Moreno,3,3,4,6,8,7,28,1.4,11.6%
Hayden,1,1,2,7,5,3,18,0.8,0.1%
Soler,3,3,7,6,8,7,31,1.6,0.4%
George,3,3,3,3,1,1,11,0.4,0.1%
Raheem Sterling,3,3,1,3,2,3,12,0.0,0.0%
Krafth,2,2,3,9,7,10,31,1.4,0.1%
Carney Chukwuemeka,2,2,2,2,2,4,12,0.0,0.0%
Kalajdžić,1,1,1,4,2,4,12,0.5,0.2%
Malacia,3,3,4,6,5,5,23,1.1,0.4%
Kovačić,0,0,0,0,9,16,25,0.8,0.0%
Davies,2,2,4,7,9,5,27,1.2,0.1%
Irving,1,1,2,4,3,2,12,0.5,0.3%
Martinez,0,0,0,0,3,25,28,1.1,0.6%
Zinchenko,1,1,2,5,5,3,16,0.6,0.3%
Fer López,0,0,2,2,4,3,11,0.4,0.1%
Faivre,1,1,2,1,3,2,9,0.4,0.3%
Amass,3,3,5,4,7,5,24,1.2,0.3%
Greenwood,0,0,2,2,2,4,10,0.4,0.1%
Neto,2,2,5,6,4,7,24,1.1,1.2%
Bogarde,1,1,3,6,7,6,23,1.1,0.3%
Browne,1,1,3,2,3,5,14,0.6,0.1%
Fábio Silva,0,0,1,2,3,3,9,0.4,0.7%
Marshall,1,1,0,2,2,3,8,0.4,0.9%
Triantis,4,4,3,4,4,1,16,0.7,0.1%
Hjelde,0,0,0,0,11,16,27,1.4,0.0%
Jordan,1,1,2,6,9,12,30,1.5,0.2%
